track_name,artist_name,track_popularity,track_duration_ms,explicit,artist_popularity,artist_followers,primary_genre,release_year,album_type,track_duration_min,popularity_category,true_hit,predicted_hit,similarity_to_popular_song
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,52.0,150826.0,False,73.0,350662.0,Classical,2010,compilation,2.51,Medium,0,0,0.19473575357951553
"""My Neighbor Totoro Symphony"" The Path of the Wind",Joe Hisaishi,42.0,222000.0,False,68.0,1486975.0,Japanese Classical,2002,album,3.7,Medium,0,0,0.1987353096448295
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,73.0,180381.0,False,100.0,145396321.0,Unknown,2023,album,3.01,High,1,1,0.23709955845720798
#GETITRIGHT,Miley Cyrus,44.0,264706.0,True,81.0,26564677.0,Unknown,2013,album,4.41,Medium,0,1,0.15214567054729328
#thatPOWER,will.i.am,67.0,279506.0,False,73.0,4427758.0,Unknown,2013,album,4.66,High,1,0,0.17790633405378078
&burn (with Vince Staples),Billie Eilish,57.5,179015.0,False,90.0,118728633.0,Unknown,2017,single,2.98,Medium,0,1,0.19016113216545258
(Do The) Act Like You Never Met Me,TV Girl,58.0,254467.0,False,79.0,12544566.0,Unknown,2016,album,4.24,Medium,0,1,0.12967440811847997
(Everything I Do) I Do It For You,Bryan Adams,77.0,393640.0,False,75.0,4781161.0,Unknown,1991,album,6.56,High,1,1,0.2824380739419547
(I Got That) Boom Boom (feat. Ying Yang Twins),Britney Spears,51.0,289400.0,False,81.0,17766757.0,Pop,2003,album,4.82,Medium,0,1,0.16026691547850422
(I Just) Died In Your Arms,Cutting Crew,79.0,280400.0,False,62.0,525182.0,Unknown,1986,album,4.67,High,1,0,0.29141474096979947
(It Goes Like) Nanana - Edit,Peggy Gou,75.0,231545.0,False,62.0,1067325.0,Unknown,2023,single,3.86,High,1,0,0.2624160313344216
"(Pick Me Up) Euphoria - From ""Euphoria"" An HBO Original Series",James Blake,45.0,195384.0,False,69.0,1551541.0,Unknown,2022,single,3.26,Medium,0,0,0.1853201498962916
(Theme From) Red Dead Redemption,Bill Elm & Woody Jackson,0.0,338240.0,False,0.0,4946.0,Unknown,2010,compilation,5.64,Low,0,0,0.9556919905023661
(What Is) LOVE?,Jennifer Lopez,37.0,266840.0,False,74.0,13710072.0,Unknown,2011,album,4.45,Medium,0,0,0.1752552504836305
(You Drive Me) Crazy,Britney Spears,69.0,198066.0,False,81.0,17766757.0,Pop,1999,album,3.3,High,1,1,0.10467977333151175
(dream),salvia palth,75.0,84701.0,False,65.0,1363006.0,Slowcore,2013,album,1.41,High,1,0,0.26604812615833395
(s)AINT,Marilyn Manson,46.0,222026.0,True,71.0,4969994.0,Industrial Metal,2003,album,3.7,Medium,0,0,0.1648325702114793
.,girl in red,62.0,166240.0,False,73.0,8763286.0,Bedroom Pop,2021,album,2.77,High,0,0,0.15236179396950741
...Baby One More Time,Britney Spears,82.0,211066.0,False,80.0,17755451.0,Pop,1999,album,3.52,High,1,1,0.11266755457388705
...Fuck,Johnny Rain,45.0,229694.0,True,35.0,84044.0,Unknown,2015,single,3.83,Medium,0,0,0.5586853319746822
...Ready For It?,Taylor Swift,79.0,208186.0,False,100.0,145443567.0,Unknown,2017,album,3.47,High,1,1,0.2371139565166772
06 Gucci (feat. DaBaby & 21 Savage),Gucci Mane,49.0,178950.0,True,76.0,5987057.0,Southern Hip Hop,2023,single,2.98,Medium,0,1,0.11520117820926636
"1 step forward, 3 steps back",Olivia Rodrigo,77.0,163586.0,True,84.0,49050008.0,Unknown,2021,album,2.73,High,1,1,0.14814771757462827
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,63.0,201526.0,False,63.0,3148347.0,Latin Pop,2018,single,3.36,High,0,0,0.24026272818705272
"1, 2, 3 (with Topic)",Oliver Cronin,38.0,131200.0,False,39.0,65719.0,Unknown,2023,single,2.19,Medium,0,0,0.5310086532544539
1-800-273-8255,Logic,76.0,250173.0,True,71.0,6141631.0,Unknown,2017,album,4.17,High,1,0,0.1776485585169967
10 Freaky Girls (with 21 Savage),Metro Boomin,71.0,208293.0,True,84.0,11679132.0,Unknown,2018,album,3.47,High,1,1,0.07227531548604611
10 Lovers,The Black Keys,52.0,213226.0,False,68.0,4138541.0,Blues Rock,2014,album,3.55,Medium,0,0,0.19166114115016342
"10,000 Hours (with Justin Bieber)",Dan + Shay,68.0,167693.0,False,66.0,3203185.0,Country,2021,album,2.79,High,1,0,0.21290032891847813
1000 Rounds,Ghostemane,1.0,163355.0,True,64.0,3698335.0,Trap Metal,2017,single,2.72,Low,0,0,0.23345702934586698
1001 Arabian Nights,Chipz,52.0,186866.0,False,39.0,22403.0,Unknown,2005,album,3.11,Medium,0,0,0.5505824446946235
10:35,Tiësto,74.0,172252.0,False,80.0,7980308.0,Edm,2022,single,2.87,High,1,1,0.08697174270306793
"12 Years Later - From ""Treasure Planet""/Score",James Newton Howard,40.0,164533.0,False,62.0,412983.0,Soundtrack,2002,album,2.74,Medium,0,0,0.2776369029110979
12 to 12,sombr,87.0,242903.0,False,85.0,2798973.0,Unknown,2025,album,4.05,High,1,1,0.06660922473310105
13 Beaches,Lana Del Rey,60.0,295569.0,False,88.0,51821190.0,Unknown,2017,album,4.93,Medium,0,1,0.1931592302536849
1400 / 999 Freestyle,Trippie Redd,2.0,175954.0,True,80.0,11010665.0,Melodic Rap,2018,album,2.93,Low,0,1,0.0953498041221402
15,The Space Ocean,0.0,229725.0,False,39.0,91961.0,Unknown,2020,album,3.83,Low,0,0,0.5198502656541658
15 Minutes,mavzy grx,33.0,126629.0,False,45.0,9382.0,Hypertechno,2024,single,2.11,Medium,0,0,0.5326249713369913
16 Lines,Lil Peep,67.0,244906.0,True,82.0,15695162.0,Emo Rap,2018,album,4.08,High,1,1,0.11366130895379181
16 Shots,Stefflon Don,61.0,224727.0,True,63.0,1206870.0,Dancehall,2017,single,3.75,High,0,0,0.24986849355104077
1917,Thomas Newman,50.0,77413.0,False,60.0,277520.0,Soundtrack,2019,album,1.29,Medium,0,0,0.33728337708563677
1922,Gary O'Slide,24.0,64649.0,False,30.0,5446.0,Southern Gothic,2021,album,1.08,Low,0,0,0.6865297185994393
1985,Bo Burnham,49.0,146654.0,False,63.0,2078961.0,Comedy,2022,album,2.44,Medium,0,0,0.24938502004432453
1999,Charli xcx,55.0,189200.0,False,82.0,6322030.0,Hyperpop,2019,album,3.15,Medium,0,1,0.05906872498146375
2 Be Loved (Am I Ready),Lizzo,64.0,187107.0,False,68.0,5739313.0,Unknown,2022,album,3.12,High,0,0,0.19192999152953924
2 Much,Justin Bieber,66.0,152796.0,False,91.0,85022258.0,Unknown,2021,album,2.55,High,0,1,0.18153806254462446
2 On (feat. ScHoolboy Q),Tinashe,81.0,227000.0,True,76.0,3083443.0,Alternative R&B,2014,album,3.78,High,1,1,0.11781058197222935
2 hands,Tate McRae,65.0,182740.0,True,88.0,9256589.0,Unknown,2025,album,3.05,High,0,1,0.05395191211915907
2 seater,Montell Fish,56.0,65982.0,True,72.0,2133043.0,Unknown,2023,single,1.1,Medium,0,0,0.22425949345727833
20 Cigarettes,Morgan Wallen,49.0,160901.0,False,88.0,14005617.0,Country,2025,album,2.68,Medium,0,1,0.08533197762776312
